time,SLP_N,SNO_N,TS_N,Extent_Had_Diff_N
2023-09-01,100950.74,1.0553731e-05,270.8465,-1.2296525770563829
2023-10-01,101507.17,1.0801454e-05,262.2012,-2.3594026922891445
2023-11-01,101182.055,9.376831e-06,252.85838,-3.321874870021521
2023-12-01,100927.055,1.0914077e-05,249.81204,-3.6918899277607604
2024-01-01,101194.19,8.76416e-06,246.4772,-3.9295633024478054
2024-02-01,101307.24,7.807404e-06,247.36736,-3.755746752103999
2024-03-01,102182.555,7.034685e-06,250.1221,-3.261327656829714
2024-04-01,102058.97,7.4135605e-06,257.25464,-2.417102336878095
2024-05-01,101541.68,8.109763e-06,267.33234,-2.1563627497598095
2024-06-01,101205.65,4.3950176e-06,275.58276,-2.329329054222665
2024-07-01,100956.31,4.9095106e-06,277.6378,-3.345520281149714
2024-08-01,101170.74,5.299741e-06,276.15082,-2.671538605954667
2024-09-01,100766.29,9.883763e-06,270.2313,-1.3308606458523835
2024-10-01,101210.64,1.0751481e-05,261.46326,-2.452121542045141
2024-11-01,101483.305,1.0429438e-05,251.6139,-3.437749594749519
2024-12-01,101588.555,8.798856e-06,247.69055,-3.8243860085367647
2025-01-01,101260.914,8.600211e-06,246.06357,-4.00815250777581
2025-02-01,100554.35,9.010162e-06,244.94672,-4.156773935056
2025-03-01,101613.52,8.263276e-06,249.39655,-3.8271098885337125
2025-04-01,101162.32,8.728102e-06,256.7331,-2.7006691295020957
2025-05-01,101472.15,7.42358e-06,268.11823,-2.0569060713397995
2025-06-01,101057.734,4.2765664e-06,275.494,-2.411355826118669
2025-07-01,100835.836,3.3820822e-06,277.29388,-2.9605731732377123
2025-08-01,101091.74,6.4662972e-06,275.7277,-2.5098875035706643
2025-09-01,101439.65,8.510094e-06,270.4025,-1.899925850964383
2025-10-01,101209.555,1.091573e-05,263.13797,-3.2430751093411434
2025-11-01,101238.22,9.804923e-06,252.4567,-3.0275690046935235
2025-12-01,101257.24,8.102175e-06,249.00899,-3.366186385612764
2026-01-01,101908.46,7.1881973e-06,246.76033,-3.4687775300198105
2026-02-01,101901.65,7.005746e-06,246.29216,-3.1775477841759994
2026-03-01,101977.1,7.2888283e-06,248.95999,-2.858040200341719
2026-04-01,101860.0,8.681689e-06,257.86713,-2.0111984165620953
2026-05-01,101644.06,8.007734e-06,267.18863,-1.7830494376238057
2026-06-01,101538.414,4.297132e-06,275.22577,-2.9937899397066605
2026-07-01,101329.81,3.0316446e-06,277.55533,-2.978430474573713
2026-08-01,101087.0,5.4237757e-06,276.0821,-2.2424537400626656
2026-09-01,100954.27,9.049786e-06,270.09555,-1.1490051511763815
2026-10-01,101437.18,1.1714696e-05,261.6164,-2.1529626073451436
2026-11-01,101393.05,9.526927e-06,251.9054,-3.2460449027375216
2026-12-01,101582.61,7.2698176e-06,246.75642,-3.498154123828762
2027-01-01,101011.5,8.688256e-06,244.40663,-3.6789732077238106
2027-02-01,101168.586,7.872445e-06,242.59067,-3.3639221631519973
2027-03-01,101032.92,8.9955565e-06,246.80168,-3.2079430997097163
2027-04-01,101031.79,9.638225e-06,256.23972,-2.1667553705260936
2027-05-01,101178.08,8.790265e-06,267.3425,-1.325585868863806
2027-06-01,101545.91,3.6916688e-06,275.03177,-2.0979671832266664
2027-07-01,101280.805,3.2014143e-06,277.11487,-2.6292587737177104
2027-08-01,101176.39,4.4532003e-06,275.8386,-1.9767746704946676
2027-09-01,101198.64,9.722497e-06,268.9408,-0.8158118553243829
2027-10-01,100923.47,1.200253e-05,262.15598,-1.5676693663491417
2027-11-01,101222.82,8.85174e-06,252.39262,-2.3449523613855217
2027-12-01,101289.71,1.0223904e-05,248.1324,-2.9105529608607608
2028-01-01,101059.27,8.883455e-06,246.9711,-3.0743387435878056
2028-02-01,101878.58,6.7572687e-06,245.41414,-3.1724075176
2028-03-01,101836.95,6.2162994e-06,247.20114,-3.041151474757715
2028-04-01,101549.74,8.081753e-06,253.98828,-2.141184900534096
2028-05-01,101404.43,8.319667e-06,266.42886,-1.243053761591808
2028-06-01,101426.664,4.9913815e-06,275.16733,-1.779114936810668
2028-07-01,101036.086,2.5547972e-06,276.9092,-2.422056620113711
2028-08-01,101042.5,6.5406475e-06,275.70828,-1.9815326128986666
2028-09-01,101352.336,8.9479245e-06,269.77737,-1.3958123842923849
2028-10-01,101245.09,1.0980989e-05,261.3572,-2.1510830504891434
2028-11-01,101234.03,9.572445e-06,252.6696,-2.6961861204055246
2028-12-01,100739.336,8.901151e-06,245.89207,-2.699475777568763
2029-01-01,101110.67,8.4502435e-06,244.58423,-3.2769289731878093
2029-02-01,100727.734,8.26776e-06,243.63092,-3.2819196461520015
